RO;AC;AM;RR;PA;AP;TO;MA;PI;CE;RN;PB;PE;AL;SE;BA;MG;ES;RJ;SP;PR;SC;RS;MG;MS;GO;DF
168817;53244;363423;42994;1307307;59719;113069;952818;171640;733041;386626;359119;958801;344091;283947;1928878;4113813;798245;3168627;10441231;2141351;1686436;2372198;348662;505026;843703;471306
181107;58669;404806;48046;1278783;61512;114307;942829;181308;727540;382585;354954;915392;355768;269851;1753813;4273730;790249;3048699;10712444;2160529;1579814;2241920;358592;483219;889239;457370
182040;56765;392430;43976;1314680;63549;123196;961211;179661;720365;373048;349533;930543;343299;275464;1826508;4206896;768770;2934284;10330242;2065597;1537491;2127813;328538;485674;913241;463360
179747;53542;404911;44339;1324439;66742;125685;945977;179865;741230;383436;343712;882344;343200;267938;1818018;4298603;765113;2800016;10348972;2075374;1482943;2094302;304394;476234;946712;472832
184630;56795;388102;40962;1344336;62956;119203;970718;178742;744855;369121;340840;868402;322066;271993;1777545;4267568;755833;2749060;10164016;2073941;1491915;2141084;318249;494398;906370;446845
176559;54781;419005;42709;1347651;65416;123678;1006961;184787;730223;359858;335658;877257;327794;263402;1747253;4407727;735415;2800297;10713193;2118638;1505932;2130929;322370;476471;974742;465949
190761;59663;432059;46918;1352077;71953;127763;985990;197323;769216;372353;340524;863283;323338;262638;1781629;4477944;782492;2877657;10842141;2153171;1511405,5;2046986;345193;510736;974159;484181
208602;64581;435048;50687;1368534;70016;129613;1015413;200216;771275;389256;355771;932621;336261;282157;1840274;4438271;788196;2989601;10602030;2095805;1468780,46;2063721;336921;525271;952986;478401
197194;62240;429563;48285;1337064;69927;119089;991190;204095;776945;396046;370926;948170;344464;290852;1813748;4386766;772124;2899863;10650754;2108976;1523167,69;2126412;336978;485645;907340;481463
189815;59895;407452;46684;1368136;70721;119245;995385;197214;764275;402604;378304;1030851;290745;296006;1810381;4326835;831500;3241549;10906375;2155750;1514460,69;2359020;358510;466670;885328;484131
189384;61486;388938;51583;1343143;65575;117082;993051;198865;743669;371810;346337;951431;330437;295108;1757892;4431243;836939;3426819;10552693;2140007;1677012;2468114;352957;444178;853675;485752
179184;59739;377546;42573;1233164;65592;106778;896022;182037;697951;373878;337034;886057;271114;263783;1594763;4304659;835409;3374945;10703256;2233949;1760373;2510085;352051;449033;878659;476577
175311;55137;394293;47843;1387148;62182;115452;968626;179375;707190;382208;374291;978359;312698;299582;1824507;4338168;860493;3332754;10859434;2213496;1775367;2447083;363169;521621;907755;468586
188043;58022;394888;48910;1347494;63001;119762;983501;185311;710914;377555;356034;968206;361828;293098;1730107;4448708;820935;3178616;10920772;2211843;1687268;2284122;372480;510308;928491;499558
185251;61620;399888;46913;1378682;65599;126415;1018032;183813;711282;361614;354137;918866;272261;291017;1788288;4398160;805575;3093268;10611977;2276314;1651681;2219989;356284;515724;966725;508086
196137;61509;422015;44776;1404316;68373;127972;1014024;193028;726565;367707;335990;898913;289297;270766;1712753;4490762;786254;2800369;10660149;2165004;1649741;2196426;327596;502477;975965;472184
202144;59032;425545;44796;1423875;66361;131254;1032885;197160;752115;360942;337515;885607;332757;283904;1753737;4473325;797325;2798556;10662422;2186187;1653418;2242206;329247;513949;974878;497642
206773;64275;458233;46486;1429423;68663;134517;1058636;200165;764517;368216;342297;933194;329927;286760;1809286;4589082;810375;2927856;10921830;2220802;1679848;2276926;352590;551716;1008945;496002
211551;64544;468046;52876;1407584;74237;142149;1034658;216653;810926;380644;346426;923045;343981;288039;1748654;4671256;802058;2970902;11309407;2272776;1668117;2192972;367021;584578;1101521;512108
216961;66298;469410;55717;1456452;77013;135843;1041248;222821;810091;400217;367518;965989;339036;297012;1772267;4553910;784101;2995310;11051807;2244449;1693720;2180545;366337;585531;1088673;507069
214947;69685;450418;50158;1390478;74557;120547;1007894;217772;798618;412770;377157;967911;350298;295341;1710019;4517981;791770;3031056;11037897;2184000;1675144;2186602;371182;553710;1018527;493587
212161;64985;436132;54368;1450878;73919;125094;1004179;215555;793797;420419;381925;1013195;348817;309185;1757126;4393456;836329;3077474;10990541;2205573;1714150;2424478;391250;545194;1002578;500796
207648;62817,09;425582;51477;1426237;74058;121086;987765;216823;822700;403529;379984;999461;370485;307050;1810031;4290700;790622;3173443;10660653;2230287,2;1701910;2421080;383280;483515;1025242;477702
202111;61945,54;473933;49733;1351493;68698;113858;936084;204380;799545;383212;355758;951255;369687;295292;1715223;4344385;816871;3264757;10913915;2331386,48;1887111;2594285;385445;511362;1035071;483735
236370;64320,43;455374;55258;1443203;62402;122731;979449;200064;782977;405331;392404;1026355;402441;319658;1899074;4483034;911314;3471911;11364583;2374938,29;2003586;2647592;404147;558428;1050279;505887
220371;68904,78;437666;59543;1375924;68677;130819;973116;212641;813199;393003;385558;976358;382239;309597;1825842;4537603;855676;3252302;11650105;2361518,31;1815185;2358278;390820;550194;1072537;518193
233506;65332,15;451756;51056;1418104;69307;141099;1021198;215948;811430;414540;385107;1018635;355381;310543;1903593;4374497;842103;3132865;10895073;2219404,88;1809555;2112787;369896;560115;1107078;520282
237786;64656,83;456900;54152;1359436;74808;134535;984029;227715;832457;397312;370656;968785;353065;286796;1714476;4444059;846190;2956888;11095936;2229694,28;1717361;2233066;350709;539218;1073841;523866
224545;67522,91;459974;51156;1381259;73296;139895;946571;228293;824129;388388;371232;937645;360269;293251;1762030;4369614;833471;2974900;10584206;2219518,29;1740870;2228516;345833;578595;1036234;495934
260049;71229,71;493586;51246;1397591;74178;142641;986719;243378;853153;400210;384265;960852;371283;295363;1828341;4521364;839709;3061913;10970145;2304229,82;1782659;2304592;378165;596089;1088425;518227
253310;73208,17;477170;54452;1376062;77985;143505;983860;247350;856246;407125;371687;952219;349340;282742;1837674;4591928;800835;3031541;11480038;2355371,95;1740005;2244852;399344;610653;1135062;528131
245704;76832,4;496783;60120;1399131;79315;147897;989928;253519;881404;412881;388234;984850;337458;303260;1876163;4606163;830865;3129584;11271363;2312552,67;1760339;2178926;408924;652960;1171214;539644
267545;74627,67;507143;62595;1351954;80396;139801;952681;250634;877578;427926;385780;1024148;389893;301051;1811417;4634519;855751;3313146;11682165;2421205,56;1803694;2318992;434131;615788;1108416;550607
237203;70586,03;460459;61137;1367694;78816;134478;958397;233567;869794;436602;399357;1030943;405480;317110;1827496;4209191;836625;3286284;11174076;2430170,41;1826643;2468466;443258;581115;1100979;519158
225761;67456,74;459640;57109;1367401;79073;136012;945840;227624;889393;432387;421347;1071510;411002;325139;1935486;4490111;917588;3562551;11119636;2308359;1844293;2464451;429745;568878;1072872;536145
217919;65826,72;446605;55096;1280164;71625;128970;888996;219731;888336;417708;411644;1036749;400264;320185;1868881;4194013;870642;3343786;11367043;2420953;1936567;2595215;429336;560792;1040568;528037
226616;66980,55;457277;55240;1364354;71706;136018;952727;218076;854292;432488;420365;1082861;415806;332197;1997132;4231557;890742;3507903;11277016;2407779;1939715;2486459;434796;614170;1040502;527417
236394;68672,43;479972;64538;1393688;74396;143444;924225;231107;879856;442376;425105;1131061;421754;330850;2066218;4453607;888607;3326802;11428432;2383390;1837255;2351478;427766;618854;1089181;534635
247498;69304,57;484281;55980;1374287;74187;148626;937432;225025;895137;435433;407030;1089473;393182;315944;1961571;4492794;883565;3210906;11324556;2373965;1857522;2382185;414597;611224;1137267;541890
236254;70842,01;493425;55092;1359820;81035;153065;917378;236336;888268;422653;390927;1022084;394406;309203;1803275;4525377;843569;3134274;11149435;2387988;1816725;2293653;402230;615673;1113945;510766
255981;70232,03;517886;56512;1426771;75890;159248;952387;242414;836396;408287;401000;1030519;381462;311934;1970520;4389860;830160;3101801;11009688;2358950;1867777;2317427;383320;650483;1142143;548897
237287;69668,26;520991;55793;1434830;79451;161376;971313;247467;891915;435163;398371;1046446;379761;309774;1900552;4670642;888651;3109526;11169268;2461365;1866410;2469443;410815;646416;1222289;558293
255615;70867,16;519050;58188;1415310;86031;166126;902593;259567;936809;427795;396309;1058322;361840;304131;1889354;4681220;813601;3120243;11412271;2462263;1764130;2346568;413887;637021;1209575;556038
262580;77618,38;549053;66509;1503072;88357;173397;895225;268128;965843;451630;409000;1114943;395560;318073;2014150;4579565;875198;3301665;11569135;2437738;1897175;2319961;428395;685951;1189569;551514
249556;73825,54;532085;62393;1472341;92480;158925;859897;256918;976758;452917;410373;1124105;387546;317644;1973543;4720019;899785;3346144;11800025;2502600;1922278;2424648;457463;659978;1213001;573042
278963;72816,24;505958;62667;1579971;86665;151695;851184;259286;905633;457309;418829;1127033;443986;329495;1941005;4470119;890301;3403576;11617828;2523749;1857726;2504511;465456;640158;1143694;566765
244037;74096;501549;64086;1490023;86182;140999;846344;250521;925025;457425;444699;1144162;445792;340330;2032130;4557459;912823;3713671;11520387;2458363;2055710;2819014;452981;570275;1141475;590201
230153;72453;479463;60271;1424374;74887;135372;775298;236733;943695;444420;435755;1075831;401345;345739;1962083;4749168;938153;3938200;12137492;2735042;2236666;3047886;463726;596780;1162140;550362
239835;70003;495404;64594;1523509;73891;145431;813589;238448;928567;465407;437397;1145799;422230;336085;2070030;4315704;936516;3811016;11719364;2523758;2075903;2682263;451119;635288;1100124;548155
248221;71360;498706;65175;1486853;81156;149856;738595;232059;889692;450059;426212;1126168;417985;327779;2075100;4517861;902306;3480776;11550632;2564776;1947688;2495016;449650;653297;1199725;545151
245102;73009;529186;67546;1550456;79404;162624;663962;244483;951714;462255;443345;1133391;408470;318018;2057781;4508094;893521;3283653;11382926;2411518;1951855;2431557;425993;667553;1188560;564523
249128;70033;493025;63062;1518602;82739;166808;655029;252584;886364;424962;407146,88;1094728;391283;303435;1962626;4492649;884650;3180966;10734862;2451886;1838916;2336413;393056;640633;1205474;545413
243747;69657;528946;61773;1662933;82810;172013;664671;260319;940659;441893;414269;1077674;399265;304970;2050954;4457843;876534;3078482;10698491;2391559;1869696;2378705;401400;668149;1133456;535941
257835;72093;547175;60610;1461244;86569;172426;722650;267045;951073;447757;402128;1088574;396213;312992;2064288;4525439;902608;2962505;11047754;2500353;1918648;2453773;421328;694329;1244282;569003
277468;79577;569778;73435;1568909;93091;174634;701362;281999;971410;450226;415717;1091833;401275;321521;2086052;4452441;883056;3146616;11046894;2520244;1869948;2397223;447608;729305;1277995;565359
274002;80814;559531;77060;1555321;91575;187573;719125;294112;1006509;468354;423306;1148048;394429;328732;2146426;4579315;948349;3398400;11378892;2529279;1978089;2415336;478585;774300;1263521;601008
263181;74031;544129;69559;1547405;93246;170705;709751;255434;1002098;477528;432384;1155289;422006;318516;2146305;4689444;929947;3456686;11892033;2683095;2055521;2526220;488993;726365;1220459;600090
258822;79434;528333;74493;1616524;89071;169456;689738;272628;959696;475334;421002;1177054;449320;323207;2091206;4327218;916695;3482597;11372078;2617083;1995312;2654190;470924;669071;1100654;557150
241735;74045;524542;74489;1535805,89;88130;155304;681792;273383;966140;476314;442275;1176098;433782;351789;2170708;4399954;1012049;3907727,76;11481676;2551652;2057739;2718925,32;486630;620241;1168506;563154
227284;71197;485964;66913;1455700;84111;147612;647871;250743;964966;459276;444521;1168420;384767;339156;2093444;4518655;965446;3752092;11507491;2678048;2171981;2808606;477913;634455;1245675;552325
239155;77868;517260;76879;1525908;79258;160019;686420;253029;901727;465932;449463;1174519;423939;345076;2196961;4218402;991973;3756338;11031343;2522808;2041595;2709913;473577;667184;1090490;525067
244492;76278;508045;72498;1456692;82070;166325;581368;251851;904228;454406;441425;1167695;427810;342466;2162632;4380238;945709;3460778;11270450;2565377;2036834;2628786;465487;665947;1128766;544580
237497;75588;509000;67748;1542671;80702;165223;519306;261748;944587;470344;430672;1207335;401446;322296;2139473;4225108;909766;3290389;10752490;2419476;1891662;2360078;423792;640772;1215590;547046
247049;79028;504937;65011;1510098;83404;177364;532190;267085;942599;460108;415013;1124703;401050;305600;2037708;4235156;875898;3124907;10386669;2390329;1860777;2312310;399567;655235;1195754;541127
244121;81487;530012;68151;1632317;85614;173944;527012;271404;910506;436790;405013;1052987;389205;294969;1983727;4149042;881198;3054740;10315312;2375698;1771310;2284965;394509;662006;1181027;526719
253165;86075;558743;68749,49;1626517;89464;183047;560779;277065;948245;440534;421397;1054592;383573;294801;2023532;4312261;892164;3158142;10584714;2425727;1876764;2326791;403744;687617;1243952;542474
271540;86776;571653;77951;1640731;94011;196310;572763;289127;939268;447152;435654;1080891;395306;303139;2006184;4341276;878520;3044798;10513696;2422457;1800934;2251019;441157;739574;1315161;559449
271482;87614;603861;87233;1696507;91642;195052;581229;293789;953910;461981;432781;1138722;421944;315159;2111837;4418747;936899;3297059;11042584;2462989;1847035;2226266;459752;745206;1395189;591717
259597;87573;538961;80000;1700974;101253;176935;570925;302313;984712;466736;439685;1126069;413527;313364;2110597;4459079;863046;3347013;11041426;2476280;1881123;2257880;466835;706245;1355222;586975
259960;90948;504238;77793;1741337;98688;177620;576143;301549;964838;477028;421635;1177088;434131;318940;2183096;4151840;862263;3330536;10886792;2452463;1810973;2312589;444863;692032;1222079;567368
235967;81614;509002;72056;1579814;90362;151612;528069;265941;954361;461199;430324;1129430;417484;324420;2028252;4220603;807264;3710227;10477738;2387931;1980442;2582524,71;448502;623514;1195816;547391
238026;81811;490478;75154;1546440,6;87321;163748;530313;241265;907792;439684;418811;1090350;392439;318336;1932274;4256144;893867;3513139;10736196;2560628;2081694;2721041;461606;656590;1170153;517258
249406;87472;504398;82976;1631299;89332;191801;551328;266071;959585;461166;441530;1175245;426875;331494;2164770;4210249;926756;3592502;10780606;2490118;2018153;2684026;468871;692957;1193278;545403
242966;84016;485366;77217;1541631;87704;179580;557051;259448;982875;463977;436467;1175146;380810;318932;2026626;4588316;900365;3655515;11310303;2605120;2111424;2553645;480899;709143;1305473;571009
240212;82771;485827;72127;1676341;90075;196896;564976;280490;1008021;461676;427548;1167156;414658;312118;2066960;4446062;857446;3359623;10579537;2462266;1933793;2435329;432614;661477;1241084;544939
235796;79148;489546;68918;1650975;90792;193368;563658;283536;1054048;455703;424316;1111509;379631;303511;2009293;4553209;754158;3034793;10231620;2360900;1865378;2373512;388727;651141;1236369;541398
239767;80623;511318;66868;1721086;92594;179014;560858;272627;1039477;455191;429311;1079770;394384;301680;1918982;4308540;758488;2952304;10296693;2370167;1887575;2377526;384434;660192;1246708;522116
257396;89210;499234;85129;1710911;94496;186587;568189;292150;1013589;462449;415382;1090379;402411;302970;1965478;4456406;746928;3108463;10309737;2371516;1888309;2329721;416066;702735;1248384;528651
245527;84364;507842;75916;1699939;100063;195715;615120;302995;1006298;471179;439668;1088805;403866;308145;1979321;4660463;797596;3167458;10572897;2380922;1892943;2299065;416888;689179;1284377;559520
252714;87535;516974;79271;1714123;98594;184697;585538;296038;991681;478086;436770;1147116;412677;309480;2010681;4534763;806660;3239285;10486686;2366779;1856306;2222574;435807;686412;1279722;546122
252896;88541;546929;79773;1684287;103208;184461;609230;318946;998315;486808;443648;1175461;420779;328619;2032507;4526009;792870;3251127;10687240;2484628;1918403;2279809;455027;668353;1242076;539409
244386;89900;443651;80079;1759151;94187;170591;589256;301204;997808;491418;445429;1204499;434492;323824;2067619;4315390;794011;3375549;10701418;2487249;1872287;2569556;456702;630587;1146074;547451
232895;86296;474520;72361,42;1635436,5;85547;165135;533851;279489;940311;473722;463290;1141779,27;427890;325357,4;2144914;4341337,88;873056,98;3766978,86;10697796,04;2511530,39;2097103;2672527,5;479900;629429,85;1227683,57;528043,2
223818;80142;440633;67873;1482671;77899;154680;508904;254283;898841,4;460762;414223;1124526;393159;311497;1965902;4404738;818405;3655216;10604427;2594732;2184253;2691432;468163;649047;1145865,51;517010
242060;85834;475312;77676;1616062;79091;178394;537996;265994;904027;475027;462961;1210223;454024;332430;2128930;4281843;910085;3856349;11119067;2656344;2273340;2847810;512707;707746;1183298,29;497132
